Annee,Departement,"Inondations, mouvement et effondrement de terrain",Inondations liées à l'action des vagues,Avalanches,Seismes
2010,10,10,0,0,0
2010,11,8,1,0,0
2010,12,2,0,0,0
2010,13,17,1,0,0
2010,14,10,8,0,0
2010,16,9,0,0,0
2010,17,0,472,0,0
2010,19,10,0,0,0
2010,2,5,0,0,0
2010,22,155,12,0,0
2010,23,2,0,0,0
2010,25,4,0,0,0
2010,26,3,0,0,0
2010,27,8,0,0,0
2010,28,1,0,0,0
2010,29,1,6,0,0
2010,30,46,0,0,0
2010,31,5,0,0,0
2010,32,2,0,0,0
2010,33,0,29,0,0
2010,34,2,0,0,0
2010,35,3,0,0,0
2010,37,2,0,0,0
2010,38,5,0,0,0
2010,4,2,0,0,0
2010,41,1,0,0,0
2010,42,4,0,0,0
2010,44,4,33,0,0
2010,45,3,0,0,0
2010,46,27,0,0,0
2010,49,1,0,0,0
2010,50,115,5,0,0
2010,51,2,0,0,0
2010,54,3,0,0,0
2010,56,5,10,0,0
2010,57,3,0,0,0
2010,58,9,0,0,0
2010,59,24,0,0,0
2010,6,16,13,0,0
2010,60,4,0,0,0
2010,61,11,8,0,0
2010,62,9,0,0,0
2010,63,4,0,0,0
2010,65,4,0,0,0
2010,66,16,0,0,0
2010,67,20,0,0,0
2010,68,6,0,0,0
2010,69,12,0,0,0
2010,7,8,0,0,0
2010,70,4,0,0,0
2010,71,28,0,0,0
2010,72,7,0,0,0
2010,73,13,0,0,0
2010,76,9,0,0,0
2010,77,1,0,0,0
2010,78,3,0,0,0
2010,79,303,0,0,0
2010,8,2,0,0,0
2010,80,1,0,0,0
2010,81,27,0,0,0
2010,82,7,0,0,0
2010,83,65,8,0,0
2010,84,10,0,0,0
2010,85,0,282,0,0
2010,86,281,0,0,0
2010,89,1,0,0,0
2010,90,6,0,0,0
2010,91,2,0,0,0
2010,92,4,0,0,0
2010,93,1,0,0,0
2010,94,4,0,0,0
2010,95,1,0,0,0
2011,291,14,0,0,0
2011,292,111,8,0,0
2011,10,8,0,0,0
2011,11,42,0,0,0
2011,12,26,0,0,0
2011,13,16,0,0,0
2011,14,6,0,0,0
2011,15,11,0,0,0
2011,16,97,0,0,0
2011,17,116,0,0,0
2011,18,59,0,0,0
2011,19,10,0,0,0
2011,2,9,0,0,0
2011,21,16,0,0,0
2011,22,11,0,0,0
2011,23,10,0,0,0
2011,24,16,0,0,0
2011,25,10,0,0,0
2011,26,19,0,0,0
2011,27,26,0,0,0
2011,28,15,0,0,0
2011,29,15,0,0,0
2011,3,18,0,0,0
2011,30,41,0,0,0
2011,31,184,0,0,0
2011,32,161,0,0,0
2011,33,3,0,0,0
2011,34,46,0,0,0
2011,36,56,0,0,0
2011,37,79,0,0,0
2011,38,21,0,0,0
2011,39,1,0,0,0
2011,4,9,0,0,0
2011,41,33,0,0,0
2011,42,7,0,0,0
2011,43,8,0,0,0
2011,44,6,0,0,0
2011,45,25,0,0,0
2011,46,33,0,0,0
2011,48,25,0,0,0
2011,49,18,0,0,0
2011,5,0,0,1,0
2011,50,4,0,0,0
2011,51,5,0,0,0
2011,52,10,0,0,0
2011,54,6,0,0,0
2011,55,2,0,0,0
2011,56,16,0,0,0
2011,57,12,0,0,0
2011,58,15,0,0,0
2011,59,43,0,0,0
2011,6,33,8,0,0
2011,60,23,0,0,0
2011,61,23,7,0,0
2011,62,8,0,0,0
2011,63,9,0,0,0
2011,65,16,0,0,0
2011,66,31,0,0,0
2011,67,2,0,0,0
2011,68,2,0,0,0
2011,69,11,0,0,0
2011,7,11,0,0,0
2011,70,2,0,0,0
2011,71,14,0,0,0
2011,72,33,0,0,0
2011,73,6,0,0,0
2011,74,1,0,0,0
2011,76,4,0,0,0
2011,77,41,0,0,0
2011,78,28,0,0,0
2011,79,53,0,0,0
2011,8,2,0,0,0
2011,80,7,0,0,0
2011,81,147,0,0,0
2011,82,137,0,0,0
2011,83,114,15,0,0
2011,84,17,0,0,0
2011,85,22,0,0,0
2011,86,105,0,0,0
2011,87,1,0,0,0
2011,88,17,0,0,0
2011,89,17,0,0,0
2011,9,3,0,0,0
2011,91,6,0,0,0
2011,92,7,0,0,0
2011,93,8,0,0,0
2011,94,3,0,0,0
2011,95,1,0,0,0
2012,291,11,0,0,0
2012,292,2,0,0,0
2012,1,3,0,0,0
2012,10,22,0,0,0
2012,11,22,0,0,0
2012,12,3,0,0,0
2012,13,14,0,0,0
2012,14,1,0,0,0
2012,15,5,0,0,0
2012,16,18,0,0,0
2012,17,1,0,0,0
2012,21,2,0,0,0
2012,22,2,0,0,0
2012,23,2,0,0,0
2012,25,1,0,0,0
2012,26,8,0,0,0
2012,27,2,0,0,0
2012,28,5,0,0,0
2012,29,16,0,0,0
2012,3,5,0,0,0
2012,30,64,0,0,0
2012,31,119,0,0,0
2012,32,119,0,0,0
2012,33,3,0,0,0
2012,34,28,0,0,0
2012,35,5,0,0,0
2012,37,7,0,0,0
2012,38,4,0,0,0
2012,39,4,0,0,0
2012,4,4,0,0,0
2012,41,8,0,0,0
2012,42,7,0,0,0
2012,43,2,0,0,0
2012,44,1,0,0,0
2012,45,1,0,0,0
2012,46,3,0,0,0
2012,49,7,0,0,0
2012,5,3,0,0,0
2012,51,7,0,0,0
2012,52,2,0,0,0
2012,53,35,0,0,0
2012,54,61,0,0,0
2012,55,7,0,0,0
2012,57,13,0,0,0
2012,58,2,0,0,0
2012,59,34,0,0,0
2012,6,13,0,0,0
2012,60,7,0,0,0
2012,61,13,0,0,0
2012,62,163,0,0,0
2012,63,30,0,0,0
2012,65,43,0,0,0
2012,67,59,0,0,0
2012,68,3,0,0,0
2012,69,6,0,0,0
2012,7,3,0,0,0
2012,70,5,0,0,0
2012,71,2,0,0,0
2012,72,6,0,0,0
2012,73,2,0,0,0
2012,74,1,0,0,0
2012,76,7,0,0,0
2012,77,2,0,0,0
2012,78,2,0,0,0
2012,79,2,0,0,0
2012,8,3,0,0,0
2012,80,2,0,0,0
2012,81,79,0,0,0
2012,82,68,0,0,0
2012,83,31,0,0,0
2012,84,25,0,0,0
2012,85,17,0,0,0
2012,86,3,0,0,0
2012,88,3,0,0,0
2012,89,1,0,0,0
2012,9,3,0,0,0
2012,90,4,0,0,0
2012,91,14,0,0,0
2012,92,2,0,0,0
2012,94,1,0,0,0
2012,95,2,0,0,0
2013,291,12,0,0,0
2013,292,7,0,0,0
2013,10,109,0,0,0
2013,11,17,2,0,0
2013,12,10,0,0,0
2013,13,2,0,0,0
2013,14,23,5,0,0
2013,15,1,0,0,0
2013,16,20,0,0,0
2013,17,28,0,0,0
2013,2,1,0,0,0
2013,21,139,0,0,0
2013,22,7,0,0,0
2013,23,1,0,0,0
2013,25,1,0,0,0
2013,26,49,0,0,0
2013,27,5,0,0,0
2013,28,14,0,0,0
2013,29,58,0,0,0
2013,3,2,0,0,0
2013,30,3,0,0,0
2013,31,73,0,1,0
2013,32,17,0,0,0
2013,34,7,0,0,0
2013,35,32,0,0,0
2013,36,1,0,0,0
2013,37,33,0,0,0
2013,38,32,0,0,0
2013,39,2,0,0,0
2013,4,3,0,0,0
2013,41,16,0,0,0
2013,42,6,0,0,0
2013,44,27,1,0,0
2013,45,13,0,0,0
2013,46,4,0,0,0
2013,48,1,0,0,0
2013,49,3,0,0,0
2013,5,1,0,1,0
2013,50,5,6,0,0
2013,51,9,0,0,0
2013,52,18,0,0,0
2013,53,15,0,0,0
2013,54,1,0,0,0
2013,55,1,0,0,0
2013,56,47,3,0,0
2013,57,5,0,0,0
2013,58,2,0,0,0
2013,59,5,0,0,0
2013,6,33,0,0,0
2013,60,6,0,0,0
2013,61,11,0,0,0
2013,62,14,1,0,0
2013,63,19,0,0,0
2013,65,186,0,1,0
2013,66,38,6,0,0
2013,67,4,0,0,0
2013,68,13,0,0,0
2013,69,4,0,0,0
2013,7,18,0,0,0
2013,70,15,0,0,0
2013,71,21,0,0,0
2013,72,21,0,0,0
2013,73,11,0,0,0
2013,74,3,0,0,0
2013,76,11,0,0,0
2013,77,19,0,0,0
2013,78,1,0,0,0
2013,79,1,0,0,0
2013,8,3,0,0,0
2013,80,8,0,0,0
2013,81,52,0,0,0
2013,82,15,0,0,0
2013,83,5,0,0,0
2013,84,5,0,0,0
2013,85,2,0,0,0
2013,86,43,0,0,0
2013,87,1,0,0,0
2013,88,5,0,0,0
2013,89,68,0,0,0
2013,9,1,0,0,0
2013,91,43,0,0,0
2013,92,0,0,1,0
2013,93,16,0,0,0
2013,94,12,0,0,0
2013,95,4,0,0,0
2014,291,19,0,0,0
2014,292,60,0,0,0
2014,11,106,4,0,0
2014,12,52,0,0,0
2014,13,17,0,0,0
2014,14,4,0,0,0
2014,16,15,0,0,0
2014,17,2,0,0,0
2014,18,1,0,0,0
2014,19,3,0,0,0
2014,21,35,0,0,0
2014,22,14,1,0,0
2014,23,2,0,0,0
2014,26,9,0,0,0
2014,27,13,0,0,0
2014,28,2,0,0,0
2014,29,44,45,0,0
2014,3,3,0,0,0
2014,30,168,0,0,0
2014,31,33,0,0,0
2014,32,35,0,0,0
2014,34,338,10,0,0
2014,35,18,2,0,0
2014,36,4,0,0,0
2014,37,1,0,0,0
2014,38,27,0,0,0
2014,39,2,0,0,0
2014,4,2,0,0,3
2014,41,3,0,0,0
2014,42,6,0,0,0
2014,43,1,0,0,0
2014,44,6,1,0,0
2014,45,22,0,0,0
2014,46,1,0,0,0
2014,48,29,0,0,0
2014,49,4,0,0,0
2014,5,1,0,0,0
2014,50,4,0,0,0
2014,51,1,0,0,0
2014,53,6,0,0,0
2014,54,11,0,0,0
2014,56,48,3,0,0
2014,57,7,0,0,0
2014,58,4,0,0,0
2014,59,13,0,0,0
2014,6,88,0,1,0
2014,60,11,0,0,0
2014,61,42,0,0,0
2014,62,34,0,0,0
2014,63,4,0,0,0
2014,65,51,0,0,0
2014,66,140,7,0,0
2014,67,8,0,0,0
2014,68,9,0,0,0
2014,69,9,0,0,0
2014,7,69,0,0,0
2014,71,133,0,0,0
2014,72,71,0,0,0
2014,73,55,0,0,0
2014,74,2,0,0,0
2014,76,14,0,0,0
2014,78,10,0,0,0
2014,79,3,0,0,0
2014,8,1,0,0,0
2014,80,22,0,0,0
2014,81,44,0,0,0
2014,82,13,0,0,0
2014,83,77,0,0,0
2014,84,2,0,0,0
2014,85,2,0,0,0
2014,86,7,0,0,0
2014,89,7,0,0,0
2014,9,8,0,1,0
2014,91,12,0,0,0
2014,92,9,0,1,0
2014,93,1,0,0,0
2014,95,3,0,0,0
2015,292,15,0,0,0
2015,62,8,0,0,0
2015,65,4,0,2,0
2015,73,2,0,0,0
2015,76,1,0,0,0
