annee_universitaire;composante_id_paysage;composante_lib;composante_id_uai;etablissement_id_paysage;etablissement_lib;composante_localisation;effectif;effectif_sans_cpge;effectif_total;effectif_total_sans_cpge;sexef;sexem;bac1;bac2;bac3;bac4;bac5;bac6;bac7;bac_ageavance;bac_agea_l_heure;bac_ageretard;bac_ageso;attrac_nat_dep_bac1;attrac_nat_dep_bac2;attrac_nat_dep_bac3;attrac_nat_dep_bac4;attrac_nat_dep_bac5;attrac_nat_dep_bac9;mobilite_internm;attrac_interne;gd_discisciplinedsa;gd_discisciplinellsh;gd_discisciplinesi;gd_discisciplinestaps;discipline02;discipline04;discipline05;discipline06;discipline32;discipline09;discipline15;discipline33;discipline10;composante_id_region;composante_region;composante_id_academie;composante_academie;rentree;annee
2018-19;M8Y6c;INSPÉ de l'Académie de Versailles;0783634B;W6CUQ;Université de Cergy-Pontoise;Île-de-France>Versailles;5242;5242;5341;5341;3918;1324;1178;1392;1581;414;262;109;306;238;3181;1517;306;1483;1507;1878;66;2;306;197;180;;5242;;;;;;5242;;;;;;R11;Île-de-France;A25;Versailles;2018;2019
2018-19;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;1325;1325;1325;1325;973;352;379;291;412;123;51;18;51;62;869;343;51;889;172;199;14;;51;19;15;;1325;;;;;;1325;;;;;;R04;La Réunion;A28;La Réunion;2018;2019
2018-19;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;z3hdL;Université des Antilles;Martinique;556;556;559;559;453;103;189;79;150;56;30;26;26;37;300;193;26;419;33;72;6;;26;11;9;;556;;;;;;556;;;;;;R02;Martinique;A31;Martinique;2018;2019
2018-19;mNtOh;INSPÉ Normandie Caen;0142393A;p25Q3;Université de Caen Normandie;Normandie;1263;1263;1265;1265;898;365;303;358;455;38;64;16;29;69;948;217;29;593;460;176;5;;29;25;22;;1263;;;;;;1263;;;;;;R28;Normandie;A70;Normandie;2018;2019
2019-20;58dQ3;INSPÉ de l’Académie d'Aix-Marseille;0134065Y;xJdyB;Aix-Marseille Université;Provence-Alpes-Côte d'Azur>Aix-Marseille;2649;2649;2671;2671;1827;822;573;606;910;143;141;59;217;143;1691;598;217;1139;538;715;40;;217;184;155;;2649;;;;;;2649;;;;;;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;2019;2020
2019-20;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;2369;2369;2370;2370;1659;710;567;555;952;74;95;29;97;181;1718;373;97;941;526;792;13;;97;86;81;;2369;;;;;;2369;;;;;;R75;Nouvelle-Aquitaine;A04;Bordeaux;2019;2020
2019-20;EqtZx;INSPÉ de l’Académie de Lille;0596983V;Szqy5;Université de Lille;Hauts-de-France>Lille;5461;5461;5506;5506;3807;1654;1307;1346;2148;189;271;67;133;321;4117;890;133;3357;1327;576;68;;133;132;92;;5461;;;;;;5461;;;;;;R32;Hauts-de-France;A09;Lille;2019;2020
2019-20;VUz2Y;INSPÉ de Bourgogne;0212218X;Lr94O;Université de Bourgogne;Bourgogne-Franche-Comté>Dijon;1282;1282;1290;1290;844;438;278;307;545;50;54;18;30;53;983;216;30;440;516;289;7;;30;22;20;;1282;;;;;;1282;;;;;;R27;Bourgogne-Franche-Comté;A07;Dijon;2019;2020
2019-20;iyM2P;INSPÉ de l'Académie de Nancy-Metz;0542497W;t6Cq5;Université de Lorraine;Grand Est>Nancy-Metz;2132;2132;2157;2157;1534;598;483;502;823;81;115;50;78;102;1555;397;78;1029;626;392;7;;78;48;45;;2132;;;;;;2132;;;;;;R44;Grand Est;A12;Nancy-Metz;2019;2020
2019-20;qCGMW;INSPÉ de l'académie de Guadeloupe;9711244A;z3hdL;Université des Antilles;Guadeloupe;459;459;459;459;344;115;102;74;192;26;29;14;22;45;290;102;22;341;43;53;;;22;4;4;;459;;;;;;459;;;;;;R01;Guadeloupe;A32;Guadeloupe;2019;2020
2020-21;49xLF;INSPÉ Toulouse Occitanie-Pyrénées;0312877J;HqAYu;Université Toulouse - Jean Jaurès;Occitanie>Toulouse;2928;2928;2966;2966;2108;820;653;663;1139;102;183;58;130;156;2159;483;130;846;709;1198;45;;130;103;85;;2928;;;;;;2928;;;;;;R76;Occitanie;A16;Toulouse;2020;2021
2020-21;58dQ3;INSPÉ de l’Académie d'Aix-Marseille;0134065Y;xJdyB;Aix-Marseille Université;Provence-Alpes-Côte d'Azur>Aix-Marseille;2648;2648;2669;2669;1831;817;599;571;883;114;119;75;287;118;1680;563;287;1100;541;671;49;;287;247;216;;2648;;;;;;2648;;;;;;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;2020;2021
2020-21;EqtZx;INSPÉ de l’Académie de Lille;0596983V;Szqy5;Université de Lille;Hauts-de-France>Lille;5212;5212;5853;5853;3679;1533;1240;1298;2084;151;280;60;99;319;3978;816;99;3318;1248;500;47;;99;91;70;;5212;;;;;;5212;;;;;;R32;Hauts-de-France;A09;Lille;2020;2021
2020-21;RIRbW;INSPÉ Bretagne;0352863X;06SE7;Université de Bretagne Occidentale;Bretagne>Rennes;2498;2498;2507;2507;1668;830;603;647;972;67;92;23;94;115;1905;384;94;1029;676;679;19;1;94;78;68;;2498;;;;;;2498;;;;;;R53;Bretagne;A14;Rennes;2020;2021
2020-21;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;7yd5d;Université de Montpellier;Occitanie>Montpellier;2437;2437;2438;2438;1752;685;539;577;938;101;115;55;112;141;1726;458;112;881;449;968;27;;112;88;80;;2437;;;;;;2437;;;;;;R76;Occitanie;A11;Montpellier;2020;2021
2020-21;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;1395;1395;1398;1398;1017;378;337;309;457;134;68;43;47;85;886;377;47;930;209;199;10;;47;10;9;;1395;;;;;;1395;;;;;;R04;La Réunion;A28;La Réunion;2020;2021
2020-21;qVqhv;INSPÉ de l'Académie de Grenoble;0383473U;Y7ch7;Université Grenoble Alpes;Auvergne-Rhône-Alpes>Grenoble;1970;1970;2081;2081;1412;558;373;493;942;37;58;16;51;125;1509;285;51;678;644;592;5;;51;26;25;;1970;;;;;;1970;;;;;;R84;Auvergne-Rhône-Alpes;A08;Grenoble;2020;2021
2013-14;39jG7;INSPÉ de l'Académie de Besançon;0251983V;7Mpgt;Université de Franche-Comté;Bourgogne-Franche-Comté>Besançon;533;533;535;535;361;172;141;148;161;38;16;8;21;19;357;136;21;243;195;69;5;;21;20;19;5;426;46;56;5;9;47;368;2;8;38;;56;R27;Bourgogne-Franche-Comté;A03;Besançon;2013;2014
2013-14;49xLF;INSPÉ Toulouse Occitanie-Pyrénées;0312877J;HqAYu;Université Toulouse - Jean Jaurès;Occitanie>Toulouse;1410;1410;1410;1410;1014;396;425;360;446;49;64;14;52;69;932;357;52;378;368;597;15;;52;40;36;57;1103;154;96;57;132;165;793;13;51;103;;96;R76;Occitanie;A16;Toulouse;2013;2014
2013-14;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;1750;1750;1750;1750;1271;479;569;505;485;61;47;19;64;74;1183;429;64;733;409;530;14;;64;54;51;32;1488;117;113;32;126;188;1174;;39;78;;113;R75;Nouvelle-Aquitaine;A04;Bordeaux;2013;2014
2013-14;76xsv;INSPÉ Centre Val-de-Loire;0451724E;HCBvW;Université d'Orléans;Centre-Val de Loire>Orléans-Tours;626;626;626;626;458;168;164;169;209;28;18;8;30;111;347;138;30;292;139;161;4;;30;17;16;5;534;52;35;5;38;68;428;;7;45;;35;R24;Centre-Val de Loire;A18;Orléans-Tours;2013;2014
2013-14;DGwMY;INSPÉ Normandie Rouen - Le Havre;0763448K;G4572;Université de Rouen Normandie;Normandie;727;727;727;727;552;175;230;225;174;43;29;2;24;31;481;191;24;477;118;100;5;3;24;23;22;;621;46;60;;22;78;521;;9;37;;60;R28;Normandie;A70;Normandie;2013;2014
2013-14;VUz2Y;INSPÉ de Bourgogne;0212218X;Lr94O;Université de Bourgogne;Bourgogne-Franche-Comté>Dijon;556;556;556;556;373;183;150;148;192;30;14;4;18;15;382;141;18;227;216;94;1;;18;16;16;17;411;47;81;17;38;62;311;;25;22;;81;R27;Bourgogne-Franche-Comté;A07;Dijon;2013;2014
2013-14;qCGMW;INSPÉ de l'académie de Guadeloupe;9711244A;XDl91;Université des Antilles et de la Guyane;Guadeloupe;177;177;179;179;139;38;55;30;55;22;9;3;3;8;100;66;3;145;19;8;2;;3;4;4;;177;;;;;;177;;;;;;R01;Guadeloupe;A32;Guadeloupe;2013;2014
2014-15;49xLF;INSPÉ Toulouse Occitanie-Pyrénées;0312877J;HqAYu;Université Toulouse - Jean Jaurès;Occitanie>Toulouse;2910;2910;2911;2911;2066;844;816;676;1006;88;160;27;137;140;1918;715;137;821;724;1203;25;;137;95;86;153;2219;343;195;153;261;247;1682;29;104;239;;195;R76;Occitanie;A16;Toulouse;2014;2015
2014-15;58dQ3;INSPÉ de l’Académie d'Aix-Marseille;0134065Y;xJdyB;Aix-Marseille Université;Provence-Alpes-Côte d'Azur>Aix-Marseille;2903;2903;2904;2904;1975;928;843;638;848;155;126;65;228;168;1618;889;228;1285;491;850;48;1;228;206;176;;2903;;;;;;2903;;;;;;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;2014;2015
2014-15;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;2348;2348;2348;2348;1684;664;680;593;802;84;77;21;91;171;1565;521;91;863;498;867;29;;91;83;71;;2239;35;74;;186;219;1834;;;35;;74;R75;Nouvelle-Aquitaine;A04;Bordeaux;2014;2015
2014-15;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;973;973;973;973;721;252;331;239;280;53;26;11;33;49;712;179;33;828;3;105;4;;33;12;11;;867;52;54;;45;121;686;15;;;52;54;R04;La Réunion;A28;La Réunion;2014;2015
2014-15;qVqhv;INSPÉ de l'Académie de Grenoble;0383473U;Mrr0h;Université Joseph-Fourier;Auvergne-Rhône-Alpes>Grenoble;2014;2014;2014;2014;1454;560;435;576;796;64;51;7;85;143;1377;409;85;703;579;638;9;;85;53;50;49;1673;156;136;49;36;23;1594;20;35;121;;136;R84;Auvergne-Rhône-Alpes;A08;Grenoble;2014;2015
2014-15;y7W8e;INSPÉ de l’Académie d'Amiens;0802142U;8j5s2;Université de Picardie Jules-Verne;Hauts-de-France>Amiens;1458;1458;1458;1458;1055;403;408;362;478;79;59;20;52;86;924;396;52;459;737;203;7;;52;34;33;;1278;180;;;106;101;1053;18;45;135;;;R32;Hauts-de-France;A20;Amiens;2014;2015
2015-16;39cGg;INSPÉ de l'Académie de Nantes;0442764R;7hB8r;Université de Nantes;Pays de la Loire>Nantes;3659;3659;3687;3687;2668;991;924;1122;1231;152;129;29;72;201;2600;786;72;1213;1007;1328;39;;72;42;36;51;3208;234;166;51;88;156;2931;33;29;125;80;166;R52;Pays de la Loire;A17;Nantes;2015;2016
2015-16;ASiVr;ESPE de la Nouvelle-Calédonie;9830690H;Z2FY5;Université de la Nouvelle-Calédonie;Collectivités d'outre-mer>Nouvelle-Calédonie;184;184;184;184;131;53;46;44;79;7;1;2;5;137;33;9;5;138;;41;;;5;1;1;;184;;;;;;184;;;;;;R00;Collectivités d'outre-mer;A40;Nouvelle-Calédonie;2015;2016
2015-16;QOggm;INSPÉ de l'Académie de Poitiers;0861433R;hlX1r;Université de Poitiers;Nouvelle-Aquitaine>Poitiers;1456;1456;1459;1459;1031;425;409;377;490;52;52;18;58;80;990;328;58;510;391;494;3;;58;43;42;21;1271;60;104;21;45;69;1157;;22;38;;104;R75;Nouvelle-Aquitaine;A13;Poitiers;2015;2016
2015-16;QgvQ6;INSPÉ de l'Académie de Créteil;0942353X;vb71K;Université Paris-Est Créteil;Île-de-France>Créteil;4798;4798;4946;4946;3532;1266;1331;1177;1226;412;247;101;304;271;2595;1628;304;728;1742;1960;64;;304;167;149;;4796;2;;;;;4795;1;2;;;;R11;Île-de-France;A24;Créteil;2015;2016
2015-16;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;1036;1036;1036;1036;769;267;312;232;345;65;32;16;34;58;752;192;34;871;6;119;6;;34;13;11;;1036;;;;;;1036;;;;;;R04;La Réunion;A28;La Réunion;2015;2016
2015-16;j2I1q;INSPÉ de l'Académie de Corse;7200739R;NLCOF;Université de Corse Pasquale Paoli;Corse;289;289;291;291;226;63;101;74;62;22;14;9;7;21;199;62;7;233;12;35;2;;7;6;6;;289;;;;;;289;;;;;;R94;Corse;A27;Corse;2015;2016
2015-16;mNtOh;INSPÉ Normandie Caen;0142393A;p25Q3;Université de Caen Normandie;Normandie;1069;1068;1071;1070;751;318;281;311;365;40;29;9;34;56;745;234;34;504;393;136;2;;34;26;26;17;774;158;120;17;42;89;643;;28;130;;120;R28;Normandie;A70;Normandie;2015;2016
2015-16;y61Kl;INSPÉ de l'Académie de Lyon;0694198N;etBz7;Université Claude Bernard - Lyon 1;Auvergne-Rhône-Alpes>Lyon;4713;4713;4790;4790;3422;1291;1228;1315;1448;236;176;50;260;280;2969;1204;260;1362;1098;1945;48;;260;158;141;58;4496;43;116;58;245;367;3884;;16;27;;116;R84;Auvergne-Rhône-Alpes;A10;Lyon;2015;2016
2016-17;39cGg;INSPÉ de l'Académie de Nantes;0442764R;7hB8r;Université de Nantes;Pays de la Loire>Nantes;3637;3637;3661;3661;2617;1020;913;1084;1238;148;138;30;86;197;2601;753;86;1185;989;1342;35;;86;63;56;50;3150;257;180;50;93;152;2876;29;39;146;72;180;R52;Pays de la Loire;A17;Nantes;2016;2017
2016-17;M8Y6c;INSPÉ de l'Académie de Versailles;0783634B;W6CUQ;Université de Cergy-Pontoise;Île-de-France>Versailles;4853;4853;4860;4860;3616;1237;1121;1291;1420;423;253;79;266;237;2750;1600;266;1408;1412;1699;66;2;266;188;159;;4853;;;;;;4853;;;;;;R11;Île-de-France;A25;Versailles;2016;2017
2016-17;lZH01;INSPÉ de l'Académie de Paris;0755736C;kvciR;Université Paris-Sorbonne;Île-de-France>Paris;3058;3058;3061;3061;2204;854;1086;697;891;88;70;21;205;211;1939;703;205;512;1060;1195;86;;205;187;162;;2719;250;89;;37;117;2565;;103;147;;89;R11;Île-de-France;A01;Paris;2016;2017
2016-17;mNtOh;INSPÉ Normandie Caen;0142393A;p25Q3;Université de Caen Normandie;Normandie;1328;1328;1330;1330;917;411;335;350;467;61;57;12;46;71;907;304;46;588;457;229;8;;46;37;36;;1328;;;;;;1328;;;;;;R28;Normandie;A70;Normandie;2016;2017
2017-18;KK7hH;INSPÉ de l'Académie de Limoges;0875078X;nkbwh;Université de Limoges;Nouvelle-Aquitaine>Limoges;592;592;593;593;382;210;145;140;241;12;21;9;24;29;428;111;24;244;210;112;2;;24;20;19;;592;;;;;;592;;;;;;R75;Nouvelle-Aquitaine;A22;Limoges;2017;2018
2017-18;M8Y6c;INSPÉ de l'Académie de Versailles;0783634B;W6CUQ;Université de Cergy-Pontoise;Île-de-France>Versailles;4974;4974;5003;5003;3738;1236;1129;1283;1460;434;247;125;296;218;2876;1584;296;1482;1490;1648;58;;296;181;161;;4974;;;;;;4974;;;;;;R11;Île-de-France;A25;Versailles;2017;2018
2017-18;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;4TeGd;Languedoc-Roussillon Universités;Occitanie>Montpellier;3348;3348;3358;3358;2487;861;821;820;1095;206;167;56;183;166;2151;848;183;1184;627;1317;37;;183;132;113;;3348;;;;;;3348;;;;;;R76;Occitanie;A11;Montpellier;2017;2018
2017-18;Ve8hU;INSPÉ de l’Académie de la Réunion;9741606C;cEt92;Université de La Réunion;La Réunion;1102;1102;1102;1102;825;277;321;237;352;92;43;15;42;53;765;242;42;842;74;138;6;;42;7;4;;1102;;;;;;1102;;;;;;R04;La Réunion;A28;La Réunion;2017;2018
2017-18;cb6n7;INSPÉ Clermont Auvergne;0632024H;FvH4k;Université Clermont Auvergne;Auvergne-Rhône-Alpes>Clermont-Ferrand;1090;1090;1090;1090;749;341;262;239;434;35;69;18;33;56;790;211;33;369;385;299;4;;33;22;20;;1090;;;;;;1090;;;;;;R84;Auvergne-Rhône-Alpes;A06;Clermont-Ferrand;2017;2018
2018-19;39jG7;INSPÉ de l'Académie de Besançon;0251983V;7Mpgt;Université de Franche-Comté;Bourgogne-Franche-Comté>Besançon;1066;1066;1066;1066;747;319;218;301;421;43;35;14;34;62;777;193;34;455;358;213;6;;34;28;26;;1066;;;;;;1066;;;;;;R27;Bourgogne-Franche-Comté;A03;Besançon;2018;2019
2018-19;76xsv;INSPÉ Centre Val-de-Loire;0451724E;HCBvW;Université d'Orléans;Centre-Val de Loire>Orléans-Tours;2215;2215;2218;2218;1586;629;556;534;814;90;108;35;78;134;1576;427;78;733;531;863;10;;78;44;39;;2215;;;;;;2215;;;;;;R24;Centre-Val de Loire;A18;Orléans-Tours;2018;2019
2018-19;VUz2Y;INSPÉ de Bourgogne;0212218X;Lr94O;Université de Bourgogne;Bourgogne-Franche-Comté>Dijon;1419;1419;1429;1429;943;476;300;374;578;51;52;30;34;61;1032;292;34;499;572;304;10;;34;22;18;;1419;;;;;;1419;;;;;;R27;Bourgogne-Franche-Comté;A07;Dijon;2018;2019
2018-19;X3ml2;INSPÉ de l'Académie de Strasbourg;0673068W;4k25D;Université de Strasbourg;Grand Est>Strasbourg;1814;1814;1822;1822;1347;467;407;473;687;69;62;24;92;71;1322;329;92;790;601;323;8;;92;69;69;;1814;;;;;;1814;;;;;;R44;Grand Est;A15;Strasbourg;2018;2019
2018-19;y61Kl;INSPÉ de l'Académie de Lyon;0694198N;etBz7;Université Claude Bernard - Lyon 1;Auvergne-Rhône-Alpes>Lyon;4711;4711;4765;4765;3446;1265;1094;1267;1699;217;199;61;174;363;3197;977;174;1478;1160;1849;47;3;174;120;109;;4711;;;;;;4711;;;;;;R84;Auvergne-Rhône-Alpes;A10;Lyon;2018;2019
2019-20;39jG7;INSPÉ de l'Académie de Besançon;0251983V;7Mpgt;Université de Franche-Comté;Bourgogne-Franche-Comté>Besançon;993;993;993;993;722;271;189;279;423;30;36;10;26;50;770;147;26;426;356;183;2;;26;18;16;;993;;;;;;993;;;;;;R27;Bourgogne-Franche-Comté;A03;Besançon;2019;2020
2019-20;ASiVr;ESPE de la Nouvelle-Calédonie;9830690H;Z2FY5;Université de la Nouvelle-Calédonie;Collectivités d'outre-mer>Nouvelle-Calédonie;145;145;145;145;101;44;37;32;52;5;10;5;4;51;56;34;4;109;;30;;2;4;1;2;;145;;;;;;145;;;;;;R00;Collectivités d'outre-mer;A40;Nouvelle-Calédonie;2019;2020
2019-20;iFa3N;INSPÉ de l’Académie de Nice;0062109K;s3t8T;Université Côte d'Azur;Provence-Alpes-Côte d'Azur>Nice;1290;1290;1319;1319;944;346;303;298;493;64;40;14;78;80;903;229;78;506;381;290;35;;78;66;49;;1290;;;;;;1290;;;;;;R93;Provence-Alpes-Côte d'Azur;A23;Nice;2019;2020
2019-20;mNtOh;INSPÉ Normandie Caen;0142393A;p25Q3;Université de Caen Normandie;Normandie;1200;1200;1200;1200;848;352;286;341;448;28;48;19;30;69;928;173;30;537;441;191;1;;30;22;22;;1200;;;;;;1200;;;;;;R28;Normandie;A70;Normandie;2019;2020
2019-20;qVqhv;INSPÉ de l'Académie de Grenoble;0383473U;Y7ch7;Université Grenoble Alpes;Auvergne-Rhône-Alpes>Grenoble;1850;1850;1933;1933;1293;557;367;432;869;50;70;18;44;130;1373;303;44;628;592;576;10;;44;28;27;;1850;;;;;;1850;;;;;;R84;Auvergne-Rhône-Alpes;A08;Grenoble;2019;2020
2019-20;y7W8e;INSPÉ de l’Académie d'Amiens;0802142U;8j5s2;Université de Picardie Jules-Verne;Hauts-de-France>Amiens;1834;1834;1834;1834;1291;543;477;393;654;73;139;53;45;102;1347;340;45;784;687;311;7;;45;27;26;;1834;;;;;;1834;;;;;;R32;Hauts-de-France;A20;Amiens;2019;2020
2020-21;39jG7;INSPÉ de l'Académie de Besançon;0251983V;7Mpgt;Université de Franche-Comté;Bourgogne-Franche-Comté>Besançon;1050;1050;1050;1050;722;328;192;268;475;34;38;14;29;58;789;174;29;408;375;235;3;;29;18;18;;1050;;;;;;1050;;;;;;R27;Bourgogne-Franche-Comté;A03;Besançon;2020;2021
2020-21;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;2292;2292;2293;2293;1614;678;518;571;934;56;91;39;83;164;1695;350;83;916;548;737;8;;83;64;59;;2292;;;;;;2292;;;;;;R75;Nouvelle-Aquitaine;A04;Bordeaux;2020;2021
2020-21;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;z3hdL;Université des Antilles;Martinique;442;442;445;445;363;79;126;73;126;38;31;19;29;22;260;131;29;325;38;49;1;;29;20;21;;442;;;;;;442;;;;;;R02;Martinique;A31;Martinique;2020;2021
2020-21;X3ml2;INSPÉ de l'Académie de Strasbourg;0673068W;4k25D;Université de Strasbourg;Grand Est>Strasbourg;1705;1705;1713;1713;1247;458;409;421;664;51;58;25;77;70;1307;251;77;700;562;346;20;;77;64;62;;1705;;;;;;1705;;;;;;R44;Grand Est;A15;Strasbourg;2020;2021
2020-21;iFa3N;INSPÉ de l’Académie de Nice;0062109K;s3t8T;Université Côte d'Azur;Provence-Alpes-Côte d'Azur>Nice;1376;1376;1377;1377;1041;335;312;292;558;61;60;17;76;88;986;226;76;482;414;377;27;;76;67;55;;1376;;;;;;1376;;;;;;R93;Provence-Alpes-Côte d'Azur;A23;Nice;2020;2021
2020-21;iyM2P;INSPÉ de l'Académie de Nancy-Metz;0542497W;t6Cq5;Université de Lorraine;Grand Est>Nancy-Metz;2099;2099;2112;2112;1494;605;432;512;834;80;125;46;70;106;1553;370;70;994;637;386;12;;70;45;41;;2099;;;;;;2099;;;;;;R44;Grand Est;A12;Nancy-Metz;2020;2021
2020-21;y7W8e;INSPÉ de l’Académie d'Amiens;0802142U;8j5s2;Université de Picardie Jules-Verne;Hauts-de-France>Amiens;1685;1685;1686;1686;1201;484;399;393;628;62;114;52;37;82;1256;310;37;743;639;257;9;;37;23;19;;1685;;;;;;1685;;;;;;R32;Hauts-de-France;A20;Amiens;2020;2021